14,16,86,29
35,88,41,30
85,0,22,-20
29,27,46,-68
50,26,19,-67
25,48,34,50
93,50,-68,12
100,43,-82,85
77,22,-41,91
5,2,-69,98
69,12,-23,-74
24,60,34,-16
59,39,-22,-71
50,7,-81,53
27,49,-30,12
27,68,34,74
26,81,-67,-95
25,100,22,17
79,11,-52,-80
49,56,94,37
39,0,-31,8
99,88,51,57
18,83,-91,33
56,81,-65,-95
91,27,-77,-28
26,90,-31,58
77,71,-82,21
22,25,68,-39
38,34,-96,-97
43,35,-30,-19
20,23,4,-71
21,58,2,45
76,92,-46,-86
14,19,-88,-1
79,44,-46,31
59,84,75,75
47,12,86,50
18,16,93,-68
87,40,18,-88
68,67,60,89
100,75,86,83
51,25,48,7
75,97,51,58
75,33,23,-97
71,3,-70,45
51,50,24,-6
83,31,-28,-62
38,50,46,-6
61,33,72,-59
50,2,45,33
37,92,76,-95
37,89,61,68
13,70,45,99
2,1,-98,-58
2,10,-64,-94
8,77,-50,99
59,20,72,-43
32,62,-37,21
69,101,-23,42
11,36,46,10
25,21,-72,-34
4,23,-50,-88
80,25,-16,66
56,91,92,-36
11,56,3,-81
66,88,-17,-5
96,18,40,-35
87,4,37,35
48,18,-12,82
38,57,-96,12
11,100,90,32
56,91,-21,-90
41,16,24,1
60,12,59,79
2,97,-87,48
72,82,43,27
60,14,-42,-65
27,84,16,77
4,10,21,-12
56,68,-53,18
95,6,86,31
54,24,-89,13
3,81,-21,-36
74,2,90,-18
0,19,-50,-55
43,29,-90,4
32,14,-7,-49
66,48,60,68
35,5,71,49
32,55,-19,3
39,78,-79,52
24,99,-78,45
98,10,-35,20
74,35,-11,-62
74,37,37,-22
84,98,-93,-30
84,45,-95,-78
81,77,62,-51
95,67,56,-51
9,89,51,42
87,46,-57,-9
61,66,50,-36
99,61,-34,-98
42,27,-49,19
76,41,43,78
88,5,-12,-71
89,11,-44,-64
36,66,88,49
42,83,-49,24
68,40,-16,-3
7,58,44,-10
30,8,34,-5
26,39,46,80
53,29,-12,-6
100,17,-63,93
84,98,2,11
96,32,94,30
96,61,-75,-93
27,19,-49,91
41,67,97,43
14,44,-49,41
19,26,34,-93
37,26,82,-43
17,37,3,-19
58,42,-59,25
20,95,-11,55
29,5,-73,-58
50,19,-49,-78
33,14,77,1
14,10,-10,-96
100,22,-39,-65
95,13,68,-15
91,67,-86,84
38,21,-13,4
89,84,-87,-67
41,88,58,23
56,63,70,93
77,47,79,-78
82,1,94,59
6,55,47,55
29,54,94,84
24,42,-73,-53
2,75,10,3
9,61,43,10
55,48,-53,25
43,24,-55,93
19,56,4,-7
19,65,-84,-62
84,11,-16,29
33,92,96,50
20,13,-37,16
92,60,-98,-26
83,5,-27,-49
95,25,62,-46
3,85,98,8
19,61,-72,17
28,66,73,-25
78,90,43,42
1,96,47,20
50,7,83,36
10,100,-61,-99
4,38,-27,19
96,13,56,29
94,16,-39,-93
52,74,-12,27
15,81,-8,55
55,65,-7,-92
